CustomerID,OnlineOrderFlag,Status,TerritoryName,CountryRegionCode,Group,StoreName,ShipMethodName
11000,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11001,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11002,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11003,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11004,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11005,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11006,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11007,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11008,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11009,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11010,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11011,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11012,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11013,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11014,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11015,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11016,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11017,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11018,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11019,true,5,Canada,CA,North America,,XRQ - TRUCK GROUND
11020,true,5,Canada,CA,North America,,XRQ - TRUCK GROUND
11021,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11022,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11023,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11024,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11025,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11026,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11027,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11028,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11029,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11030,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11031,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11032,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11033,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11034,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11035,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11036,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11037,true,5,Canada,CA,North America,,XRQ - TRUCK GROUND
11038,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11039,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11040,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11041,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11042,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11043,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11044,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11045,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11046,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11047,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11048,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11049,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11050,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11051,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11052,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11053,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11054,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11055,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11056,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11057,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11058,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11059,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11060,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11061,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11062,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11063,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11064,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11065,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11066,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11067,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11068,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11069,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11070,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11071,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11072,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11073,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11074,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11075,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11076,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11077,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11078,true,5,Canada,CA,North America,,XRQ - TRUCK GROUND
11079,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11080,true,5,Australia,AU,Pacific,,XRQ - TRUCK GROUND
11081,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11082,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11083,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11084,true,5,Northwest,US,North America,,XRQ - TRUCK GROUND
11085,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
11086,true,5,Southwest,US,North America,,XRQ - TRUCK GROUND
